tag,cleaned_tweet
1,"#worstroadtripever only had one cassette in the car, u2's the unforgettable fire, which is great until you get a headache the 13th time thru"
1,super eagles camp update report has it that super eagles first choice goalkeeper and captain vincent enyeama may... http://t.co/cfunfbcpdq
1,they still have slaves - my 1st &only thought - when a so-called prince from saudi arabia - says anything about donald trump -
1,musicality / sam smith - i've told you now trying to create new choreo. may i tatry ako sa september 1.
1,my pals are off to the lake to hear the foo fighters and i'm just sat out my room listening from the distance. bailed again.
2,"dont miss this tomorrow: superstars ink on http://t.co/ihjx9ninon w/ its 1st guess, the wwe & us champ, seth rollins http://t.co/su0zb8fzh8"
2,so glad i was the grand prize winner to see zac brown band i can't wait til october :)
1,are you guys trying to work in another sharknado reference for friday?
1,"dec 13, 1965 john lennon, paul mccartney and george harrison meet at nems hq to discuss the group's third film project, a tallent for lovng"
1,#mtvstars lady gaga dick dick dick the time is dicking away.. voting closes 10 a.m. dec 15 tweet #mtvstars lady gaga
2,"oh shi. well, i know where i am heading either tomorrow out tuesday. thanks for the info. will put out to gucci use."
1,terry collins said he asked david wright to come out 5 times tonight. wright declined. will play friday. guessing off saturday vs. righty.
2,"see how karachiates celebrating""eid""-no water in liaqatabad no 6, 3rd day of #eid #mohajirswantjustice http://t.co/dwck5nbmyq"
2,"gonna see it with my shorty today and my homie tomorrow. ""ice cube write the rhymes that i say""- easy e."
1,"looking at my gucci it's about that time. bldg 406, 2nd floor. #giaf15 #art #charcoal #drawing #gucci http://t.co/gs7taxxdn4"
2,"thank you, ian, for making ""sharknado"" our family's new guilty pleasure!!! can't wait for the 4th! #aprillives"
0,briana is acting like us not wearing uniforms to school tomorrow is the next world war 2
1,cena all day he always speaks the truth and seth rollins will be his bitch on sunday trust me #16timechampsoon https://t.co/xwmaeaebjb
0,eamonn holmes has dropped the biggest hint yet that he's going into the celebrity big brother house on thursday.... http://t.co/ah93wbe7v9
2,"yes, i'm optimistic but feel we really needed a 2nd striker who could either play alone or link with kane"
2,"outfit: pink for eid - salaam, lovelies. eid mubarak.. and may you all have a blessed eid! since the last day of r... http://t.co/m5sdeejsua"
1,agreed. pay 30mill for kane now or watch him bag 20+ and pay 50 mill in jan ? the other 2 are going nowhere.
1,#news: the mtv vmas are tomorrow. enjoy this look back at the 1992 awards with nirvana performing ... http://t.co/wrmoyowoxr #keepgrunge
2,new ia poll has ben carson and donald trump tied... with carly fiorina in 3rd. should be an interesting next few months...
2,tomorrow is going to be the most interesting 'sunday' at a major championship in recent memory. wishing paul dunne best of luck #theopen
2,"incredible!! any pupils able 2 bring it 2 our star wars day, sat? not sure even our master model maker could top it! https://t.co/nupflgegku"
2,today's my 21st birthday and it would be awesome if i could get a birthday reply from thor!
2,i think the best stan lee cameo may be in ant-man. it had me laughing hard.
0,niall had sex gave you tickets thats not love love is when he protects u he takes u on dates he wouldnt put u in the 7th row of the concert
1,just gonna blare john cena theme music tomorrow after school
1,"i'll have a lot more to say on murray in a #usopen wrap-up come next monday, but for now, it's kevin anderson's moment in the sun."
0,my itunes is fucking up and isn't even letting me buy calibraska so i'll definitely gift tomorrow or once i figure it out i'm sorry
